"If-satser 22.12.2022 10:17:06","https://dreambroker.com/channel/rjvel23m/vywy00r0/get/fullhd.mp4"
"Vi börjar med Kotlin 19.12.2022 13:49:01","https://dreambroker.com/channel/rjvel23m/yv5sys1m/get/fullhd.mp4"
"Felhantering med resignal 16.12.2022 09:52:44","https://dreambroker.com/channel/rjvel23m/7mz8817j/get/fullhd.mp4"
"Callable Statement 16.12.2022 09:27:14","https://dreambroker.com/channel/rjvel23m/cka9393u/get/fullhd.mp4"
"Prepared Statement och CRUD 16.12.2022 08:23:13","https://dreambroker.com/channel/rjvel23m/n26j9hc9/get/fullhd.mp4"
"Intro JDBC 15.12.2022 15:43:31","https://dreambroker.com/channel/rjvel23m/hr9z1gd4/get/fullhd.mp4"
"Högre ordningens funktioner 14.12.2022 18:53:44","https://dreambroker.com/channel/rjvel23m/jx2lcbzi/get/fullhd.mp4"
"Streams till Map 13.12.2022 13:08:23","https://dreambroker.com/channel/rjvel23m/xil8aorw/get/fullhd.mp4"
"Datatypen Map 13.12.2022 12:32:45","https://dreambroker.com/channel/rjvel23m/e2iyvbxq/get/fullhd.mp4"
"Streams, joining 13.12.2022 10:28:56","https://dreambroker.com/channel/rjvel23m/275inz8q/get/fullhd.mp4"
"Streams: Sortering 13.12.2022 10:18:01","https://dreambroker.com/channel/rjvel23m/9x6egvy9/get/fullhd.mp4"
"Streams, logiska uttryck 12.12.2022 20:46:05","https://dreambroker.com/channel/rjvel23m/pm3miakf/get/fullhd.mp4"
"Streams för primitiver, Optional, IntStream.range, lines 12…","https://dreambroker.com/channel/rjvel23m/2xrw85if/get/fullhd.mp4"
"Streams, reduce 11.12.2022 17:06:43","https://dreambroker.com/channel/rjvel23m/zhvfd8yh/get/fullhd.mp4"
"Streams: FlatMap 11.12.2022 16:31:50","https://dreambroker.com/channel/rjvel23m/2rmo8mmx/get/fullhd.mp4"
"Stream, filter, map 11.12.2022 15:39:06","https://dreambroker.com/channel/rjvel23m/vcv7s8io/get/fullhd.mp4"
"Javas funktionsgränsnitt 9.12.2022 17:23:46","https://dreambroker.com/channel/rjvel23m/87v6nmfe/get/fullhd.mp4"
"Funktionsgränssnitt 9.12.2022 15:22:43","https://dreambroker.com/channel/rjvel23m/mioxyrik/get/fullhd.mp4"
"Funktioner som First Class Citizens 9.12.2022 13:37:47","https://dreambroker.com/channel/rjvel23m/wsw88sxs/get/fullhd.mp4"
"Intro Funktionella språk 9.12.2022 09:34:05","https://dreambroker.com/channel/rjvel23m/pti94vrq/get/fullhd.mp4"
"SPs med transaktioner och felhantering 7.12.2022 16:42:55","https://dreambroker.com/channel/rjvel23m/flxd8khs/get/fullhd.mp4"
"Transaktioner 7.12.2022 15:49:55","https://dreambroker.com/channel/rjvel23m/dlda8mc5/get/fullhd.mp4"
"Forts. Stored Procedures 7.12.2022 11:48:12","https://dreambroker.com/channel/rjvel23m/notpy87i/get/fullhd.mp4"
"Intro Stored Procedures 6.12.2022 16:43:20","https://dreambroker.com/channel/rjvel23m/s2ba46k8/get/fullhd.mp4"
"Vyer 6.12.2022 10:59:24","https://dreambroker.com/channel/rjvel23m/9pkriv8p/get/fullhd.mp4"
"Group By 6.12.2022 09:38:24","https://dreambroker.com/channel/rjvel23m/m4mrh0tv/get/fullhd.mp4"
"Sortering 30.11.2022 19:38:57","https://dreambroker.com/channel/rjvel23m/y22uqx5b/get/fullhd.mp4"
"Right join, left join 30.11.2022 18:22:09","https://dreambroker.com/channel/rjvel23m/qt9ug5g3/get/fullhd.mp4"
"Inner join 30.11.2022 17:44:57","https://dreambroker.com/channel/rjvel23m/bpdw8hmn/get/fullhd.mp4"
"Enkla sökningar 30.11.2022 17:22:47","https://dreambroker.com/channel/rjvel23m/byrihljc/get/fullhd.mp4"
"Index 30.11.2022 14:15:42","https://dreambroker.com/channel/rjvel23m/lgzr6d0t/get/fullhd.mp4"
"Integriteter 30.11.2022 09:19:41","https://dreambroker.com/channel/rjvel23m/865g8hp7/get/fullhd.mp4"
"Greja med datat i databasen 28.11.2022 15:54:28","https://dreambroker.com/channel/rjvel23m/3czzffgs/get/fullhd.mp4"
"Skapa tabeller 28.11.2022 14:08:16","https://dreambroker.com/channel/rjvel23m/v6f46vsk/get/fullhd.mp4"
"Demo relationsmodellen 27.11.2022 15:53:17","https://dreambroker.com/channel/rjvel23m/6nld3mi9/get/fullhd.mp4"
